date;aircraft;crew;departure;arrival;landings;flighttime;pic time;dual time;remarks
2013-06-19;OEAGT;DV20;;LOAV;07:55;LOGO;09:21;1;01:26;01:26;00:00;Landfee:8.40, PAX:Christof Bader
2013-06-16;OEKYV;C172;;LOAG;10:28;LOAV;11:15;1;00:47;00:47;00:00;PAX:Alina Binder, PAX:Judith Karner, PAX: Lucas
2013-06-16;OEKYV;C172;;LOAV;07:43;LOAG;09:19;1;01:36;01:36;00:00;Landfee:16.50, PAX:Alina Binder, PAX:Judith Karner, PAX: Lucas
2013-06-15;OEAGT;DV20;;LOAV;16:33;LOAV;17:03;4;00:30;00:30;00:00;
2013-06-15;OEAGT;DV20;;LOAV;16:07;LOAV;16:27;1;00:20;00:20;00:00;
2013-06-12;OEAGT;DV20;;LOAV;07:56;LOAV;09:44;1;01:48;01:48;00:00;
2013-06-09;OECFF;C152;;LOGG;08:46;LOAV;09:45;1;00:59;00:59;00:00;
2013-06-09;OECFF;C152;;LOAV;07:34;LOGG;08:26;1;00:52;00:52;00:00;Landfee:8.50
2013-05-05;OEAGT;DV20;;LOAU;09:19;LOAV;09:55;1;00:36;00:36;00:00;
2013-05-05;OEAGT;DV20;;LOAD;08:37;LOAU;09:14;1;00:37;00:37;00:00;Landfee:10
2013-05-05;OEAGT;DV20;;LOAV;07:35;LOAD;08:13;1;00:38;00:38;00:00;Landfee:15
2013-05-04;OEKYV;C172;;LOAS;11:53;LOAV;12:44;1;00:51;00:51;00:00;PAX: Martin Pfleger
2013-05-04;OEKYV;C172;;LOAV;10:27;LOAS;11:04;1;00:37;00:37;00:00;PAX: Martin Pfleger
2013-04-24;OEAGT;DV20;;LOAG;10:30;LOAV;11:15;1;00:45;00:45;00:00;
2013-04-24;OEAGT;DV20;;LOGP;08:27;LOAG;09:35;1;01:08;01:08;00:00;
2013-04-24;OEAGT;DV20;;LOAV;07:23;LOGP;08:07;1;00:44;00:44;00:00;
2013-04-21;OEKYV;C172;SCHIMMELBACH FI;LOAS;09:15;LOAV;09:58;2;00:43;00:00;00:43;PAX: Georg Stoifl
2013-04-21;OEKYV;C172;SCHIMMELBACH FI;LOAV;08:20;LOAS;09:15;1;00:55;00:00;00:55;PAX: Georg Stoifl
2013-04-17;OEAGT;DV20;;LOAV;09:18;LOAV;09:46;2;00:28;00:28;00:00;
2013-03-20;OEAGT;DV20;;LOAG;09:53;LOAV;10:42;1;00:49;00:49;00:00;
2013-03-20;OEAGT;DV20;;LOAV;08:31;LOAG;09:09;1;00:38;00:38;00:00;
2013-03-16;OEAGT;DV20;;LOAV;10:20;LOAV;10:58;3;00:38;00:38;00:00;
2013-03-16;OEAGT;DV20;;LOAV;09:25;LOAV;10:00;2;00:35;00:35;00:00;
2013-03-03;OECFF;C152;;LOGF;12:48;LOAV;13:45;1;00:57;00:57;00:00;
2013-03-03;OECFF;C152;;LOAV;11:42;LOGF;12:35;1;00:53;00:53;00:00;
2013-03-03;OEAGT;DA20;SCHIMMELBACH FI;LOAV;09:33;LOAV;10:16;3;00:43;00:00;00:43;Einweisung
2012-12-29;OECFF;C152;;LOAG;10:42;LOAV;12:06;1;01:24;01:24;00:00;PAX: Stefan Pfleger
2012-12-29;OECFF;C152;;LOAV;09:12;LOAG;10:18;1;01:06;01:06;00:00;PAX: Stefan Pfleger
2012-12-29;OECFF;C152;;LOAV;08:23;LOAV;08:41;3;00:18;00:18;00:00;
2012-12-01;OECUS;C152;KUGLER FE;LOAV;08:31;LOAV;10:25;3;01:54;00:00;01:54;PPL-Prufung
2012-10-03;OECFF;C152;MORAWEC FI;LOWG;15:44;LOAV;16:59;1;01:15;00:00;01:15;D-Check
2012-10-03;OECFF;C152;MORAWEC FI;LOAV;14:17;LOWG;15:18;1;01:01;00:00;01:01;
2012-09-29;OECFF;C152;;LOAG;10:57;LOAV;11:34;1;00:37;00:37;00:00;
2012-09-29;OECFF;C152;;LOLW;08:49;LOAG;09:54;1;01:05;01:05;00:00;
2012-09-29;OECFF;C152;;LOAV;07:17;LOLW;08:34;1;01:17;01:17;00:00;
2012-09-12;OECUS;C152;;LOAV;08:19;LOAV;09:59;1;01:40;01:40;00:00;
2012-09-08;OECUS;C152;;LOAV;07:25;LOAV;09:01;1;01:36;01:36;00:00;
2012-09-05;OECUS;C152;;LOAG;13:23;LOAV;13:59;1;00:36;00:36;00:00;
2012-09-05;OECUS;C152;;LOAV;10:52;LOAG;12:15;1;01:23;01:23;00:00;
2012-08-29;OECUS;C152;;LOAV;11:08;LOAV;11:45;1;00:37;00:37;00:00;
2012-08-22;OECFF;C152;;LOAV;10:25;LOAV;11:22;5;00:57;00:57;00:00;
2012-08-22;OECFF;C152;SCHIMMELBACH FI;LOAV;09:39;LOAV;10:17;1;00:38;00:00;00:38;
2012-08-18;OECFF;C152;SCHIMMELBACH FI;LOAV;07:45;LOAV;10:15;1;02:30;00:00;02:30;Alpeneinweisung
2012-08-15;OECFF;C152;;LOAS;10:37;LOAV;11:13;1;00:36;00:36;00:00;
2012-08-15;OECFF;C152;;LOAV;09:12;LOAS;10:05;3;00:53;00:53;00:00;
2012-08-12;OECFF;C152;MORAWEC FI;LOAV;13:46;LOAV;14:36;1;00:50;00:00;00:50;C-Check
2012-08-12;OECFF;C152;SCHIMMELBACH FI;LOAS;10:34;LOAV;11:30;1;00:56;00:00;00:56;
2012-08-12;OECFF;C152;SCHIMMELBACH FI;LOAV;09:35;LOAS;10:25;2;00:50;00:00;00:50;
2012-08-08;OECFF;C152;SCHIMMELBACH FI;LOAV;09:30;LOAV;11:09;1;01:39;00:00;01:39;
2012-08-04;OECFF;C152;SCHIMMELBACH FI;LOAG;11:23;LOAV;12:46;1;01:23;00:00;01:23;
2012-08-04;OECFF;C152;SCHIMMELBACH FI;LOAV;09:37;LOAG;10:17;1;00:40;00:00;00:40;
2012-08-01;OECFF;C152;;LOAV;09:33;LOAV;10:47;8;01:14;01:14;00:00;
2012-08-01;OECFF;C152;;LOAV;07:30;LOAV;08:43;5;01:13;01:13;00:00;
2012-07-29;OECFF;C152;SCHIMMELBACH FI;LOAV;07:32;LOAV;08:41;3;01:09;00:00;01:09;
2012-06-07;OECUS;C152;SCHIMMELBACH FI;LOAG;09:14;LOAV;10:00;1;00:46;00:00;00:46;
2012-06-07;OECUS;C152;SCHIMMELBACH FI;LOAV;07:49;LOAG;08:45;1;00:56;00:00;00:56;
2012-06-02;OECFF;C152;;LOAV;10:01;LOAV;10:23;3;00:22;00:22;00:00;First Solo
2012-06-02;OECFF;C152;SCHIMMELBACH FI;LOAV;09:29;LOAV;09:47;2;00:18;00:00;00:18;
2012-05-18;OECFF;C152;SCHIMMELBACH FI;LOAV;09:34;LOAV;10:29;2;00:55;00:00;00:55;
2012-05-13;OECFF;C152;SCHIMMELBACH FI;LOAS;09:20;LOAV;10:11;1;00:51;00:00;00:51;
2012-05-13;OECFF;C152;SCHIMMELBACH FI;LOAV;07:49;LOAS;08:36;3;00:47;00:00;00:47;
2012-05-09;OECFF;C152;MORAWEC FI;LOAV;14:13;LOAV;14:46;4;00:33;00:00;00:33;B-Check
2012-05-09;OECFF;C152;SCHIMMELBACH FI;LOAV;12:32;LOAV;13:12;5;00:40;00:00;00:40;
2012-04-25;OECFF;C152;SCHIMMELBACH FI;LOAV;07:32;LOAV;08:30;7;00:58;00:00;00:58;
2012-04-18;OECFF;C152;SCHIMMELBACH FI;LOAV;13:12;LOAV;13:45;5;00:33;00:00;00:33;
2012-04-18;OECFF;C152;SCHIMMELBACH FI;LOAV;11:42;LOAV;12:52;7;01:10;00:00;01:10;
2012-04-13;OECFF;C152;KUGLER FI;LOAV;15:19;LOAV;16:40;3;01:21;00:00;01:21;A-Check
2012-04-09;OECFF;C152;SCHIMMELBACH FI;LOAS;11:56;LOAV;12:46;4;00:50;00:00;00:50;
2012-04-09;OECFF;C152;SCHIMMELBACH FI;LOAV;10:55;LOAS;11:50;3;00:55;00:00;00:55;
2012-04-04;OECFF;C152;SCHIMMELBACH FI;LOAV;15:45;LOAV;16:25;4;00:40;00:00;00:40;
2012-04-04;OECFF;C152;SCHIMMELBACH FI;LOAV;15:35;LOAV;15:50;1;00:15;00:00;00:15;
2012-04-04;OECFF;C152;SCHIMMELBACH FI;LOAV;15:10;LOAV;15:41;3;00:31;00:00;00:31;
2012-03-28;OECFF;C152;SCHIMMELBACH FI;LOAV;11:50;LOAV;12:50;6;01:00;00:00;01:00;
2012-03-24;OECFF;C152;KUGLER FI;LOAV;09:46;LOAV;10:43;3;00:57;00:00;00:57;
2012-03-24;OECFF;C152;KUGLER FI;LOAV;08:22;LOAV;09:13;6;00:51;00:00;00:51;
2012-03-14;OECFF;C152;SCHIMMELBACH FI;LOAV;12:29;LOAV;13:17;3;00:48;00:00;00:48;
2012-03-03;OECFF;C152;SCHIMMELBACH FI;LOAV;13:16;LOAV;14:12;3;00:56;00:00;00:56;
2012-02-18;OECFF;C152;SCHIMMELBACH FI;LOAV;14:00;LOAV;15:00;4;01:00;00:00;01:00;
2012-02-08;OECFF;C152;SCHIMMELBACH FI;LOGG;13:09;LOAV;14:07;2;00:58;00:00;00:58;
2012-02-08;OECFF;C152;SCHIMMELBACH FI;LOAV;11:27;LOGG;12:17;1;00:50;00:00;00:50;
2012-02-01;OECFF;C152;SCHIMMELBACH FI;LOAV;12:26;LOAV;13:19;3;00:53;00:00;00:53;
2012-01-28;OEAGT;DA20;SCHIMMELBACH FI;LOAV;13:09;LOAV;13:51;2;00:42;00:00;00:42;
2011-11-06;OEAGT;DA20;SCHREFL FI;LOAV;12:10;LOAV;12:38;1;00:28;00:00;00:28;
